country_iso_code,currency_iso_code,currency_name
AR,ARS,Argentinian Peso
AU,AUD,Australian dollar 
AT,EUR,Euro
BE,EUR,Euro
BR,BRL,Brazilian Real 
CA,CAD,Canadian Dollar 
CL,CLP,Chilean Peso
CO,COP,Colombian Peso
CZ,CZK,Czechian Koruna
DK,DKK,Danish Krone
FR,EUR,Euro
DE,EUR,Euro
HK,HKD,Hong Kong Dollar 
IN,INR,Indian Rupee
ID,IDR,Indonesian Rupiah
IE,EUR,Euro
IT,EUR,Euro
JP,JPY,Japanese Yen
MY,MYR,Malaysia Ringgit 
MX,MXN,Mexican Peso 
NL,EUR,Euro
NZ,NZD,New Zealand Dollar 
NO,NOK,Norwegian Krone
PH,PHP,Philippine Peso
PL,PLN,Poland Złoty
PT,EUR,Euro
RU,RUB,Russian Ruble
SG,SGD,Singapore dollar
ZA,ZAR,South African Rand
ES,EUR,Euro
SE,SEK,Swedish Krona
CH,CHF,Swiss Franc
TW,TWD,New Taiwan Dollar
TR,TRY,Turkish Lira
AE,AED,United Arab Emirates Dirham 
GB,GBP,British Pound
US,USD,US Dollar
