country_iso_code,language_iso_code,lang_name
AR,ES,Spanish
AU,EN,English
AT,DE,German
AT,EN,English
BE,FR,French
BE,NL,Dutch
BE,EN,English
BR,PT,Portuguese
CA,EN,English
CA,FR,French
CL,ES,Spanish
CO,ES,Spanish
CZ,CS,Czech
CZ,ES,Spanish
DK,DA,Danish
DK,EN,English
FR,FR,French
DE,DE,German
DE,EN,English
HK,ZH,Traditional Chinese
HK,EN,English
IN,EN,English
ID,IN,Indonesian
ID,EN,English
IE,EN,English
IT,IT,Italian
JP,JA,Japanese
MY,EN,English
MX,ES,Spanish
MX,EN,English
NL,NL,Dutch
NL,EN,English
NZ,EN,English
NO,NO,Norwegian
NO,EN,English
PH,EN,English
PL,PL,Polish
PT,PT,Portuguese
RU,RU,Russian
SG,EN,English
ZA,EN,English
ES,ES,Spanish
SE,SV,Swedish
SE,EN,English
CH,EN,English
CH,DE,German
CH,FR,French
CH,IT,Italian
TW,ZH,Traditional Chinese
TW,EN,English
TR,TR,Turkish
TR,EN,English
AE,EN,English
GB,EN,English
US,EN,English
